Category,SubCategory,Name,Price,SKU,Weight,Options,Description,ImageUrls,ImageNames,Url
Gear Bags,True North Gear Bags and Packs,True North Dozer Radio Harness Gen 2,$59.95,36524,1.00 LBS,,"True North Dozer Radio Harness Gen 2DETAILSOur collection of best-selling Radio Harnesses feature all the bells and whistles that our customers expect from True North® products. With adjustable pockets designed to fit all makes and models of radios and our internal suspension system that keeps harness fit stable, to upgraded, lightweight low-profile back harnesses, our Gen 2 Radio Harnesses are even more comfortable, durable and functional than ever.The Dozer holds your New Generation fire shelter, radio, and spare battery where it's easily accessed yet still out of the way. Our pack sits comfortably on your chest without sagging or swinging due to our unique internal suspension system.FEATURESAdjustable radio pocket fits a wide range of models from larger legacy radios to smaller, modern handsetsFront pocket fits large fire shelterMultiple storage througout for batteries, maps, notebooks and pensLow profile back harness constructed from lightweight yet durable Hypalon™SPECSMaterials: 1000D Cordura®, Nylon Webbing, Nylon Hardware, Hypalon™Weight: 1.5lbsCERTIFICATIONSNFPA 1977","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/840/1538/True_North_Dozer_Radio_Harness_Gen_2__78645.1494525722.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/840/1536/True_North_Dozer_Radio_Harness_Gen_2b__68478.1494525722.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/840/1537/True_North_Single_Universal_Radio_Harness_Gen_2c__21742.1494525722.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/840/1539/True_North_Single_Universal_Radio_Harness_Gen_2e__67890.1494525722.jpg?c=2, ","d80a0c57-ad1e-4457-8d9a-6a5aca972a9c.png, c89fd4ac-e10a-4f6a-9e64-bddf095361e4.png, 7f0083b2-47c2-41a7-b75c-6ced50373b58.png, 14336ebe-2e06-4e37-9f96-2915a9197714.png, ",https://www.fire-etc.com/true-north-dozer-radio-harness-gen-2/
Gear Bags,True North Gear Bags and Packs,True North Dual Radio Harness Gen 2,$74.95,35369,1.00 LBS,,"True North Dual Radio Harness Gen 2DETAILSOur collection of best-selling Radio Harnesses feature all the bells and whistles that our customers expect from True North® products. With adjustable pockets designed to fit all makes and models of radios and our internal suspension system that keeps harness fit stable, to upgraded, lightweight low-profile back harnesses, our Gen 2 Radio Harnesses are even more comfortable, durable and functional than ever.The Dual Universal Radio Harness pairs comfort and function with a side-zip on internal pocket for faster access. Our unique internal suspension system keeps the radio harness comfortably on your chest without sagging or swinging. Holds most sizes of radios from Bendix King down to Icom and Kenwood.FEATURES2 adjustable radio pockets fit a wide range of models from larger legacy radios to smaller, modern handsetsCell phone pocket developed to fit large phones and their casesMultiple storage throughout for batteries, maps, notebooks and pensSlots for holding two pensLow profile back harness constructed from lightweight yet durable Hypalon™Can mount directly to your line pack shoulder harness with Integration StrapsZippered front pocket for Kestrel or GPSSPECSMaterials: 1000D Cordura®, Nylon Webbing, Nylon Hardware, Hypalon™Weight: .80 lbsCERTIFICATIONNFPA 1977","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/839/1535/True_North_Dual_Radio_Harness_Gen_2__22475.1494525365.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/839/1533/True_North_Single_Universal_Radio_Harness_Gen_2e__86145.1494525366.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/839/1534/True_North_Single_Universal_Radio_Harness_Gen_2c__62715.1494525366.jpg?c=2, ","d8da9e01-10d5-4dac-bbd8-47ed4d6ef98b.png, 16218d6d-74d2-4225-ad2a-6007c0182cb3.png, 4fe485c3-3f59-45b5-a36a-926fabe1d0b8.png, ",https://www.fire-etc.com/true-north-dual-radio-harness-gen-2/
Gear Bags,True North Gear Bags and Packs,True North Single Universal Radio Chest Harness Gen 2,$64.95,36523,1.00 LBS,,"True North Single Universal Radio Chest Harness Gen 2DETAILSOur collection of best-selling Radio Harnesses feature all the bells and whistles that our customers expect from True North® products. With adjustable pockets designed to fit all makes and models of radios and our internal suspension system that keeps harness fit stable, to upgraded, lightweight low-profile back harnesses, our Gen 2 Radio Harnesses are even more comfortable, durable and functional than ever.The Single Universal Radio Harness features hook and loop closure front pocket for spare battery clamshell or other small items. Half-moon zippered opening allows easy access to main pocket which features an internal organizer pocket. Elastic straps keep radios in place when bending over.FEATURESAdjustable radio pocket fits a wide range of models, from larger legacy radios to smaller modern handsetsLarge map / notebook pocket with half-moon zip closureCell phone pocket developed to fit large phones and their casesOne buckle closure on radio pocketSpare battery pocketDual pen slotsLow profile back harness contructed from lightweight yet durable Hypalon™ (new) Can mount directly to your line pack shoulder harness with Integration StrapsChest Footprint Dimension: 10.5"" x 10""SPECSMaterials: 1000D Cordura®, Nylon Mesh, Nylon Webbing, Nylon Hardware, Hypalon™Weight: .65 lbsCERTIFICATIONNFPA 1977","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/838/1527/True_North_Single_Universal_Radio_Harness_Gen_2__49516.1494524923.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/838/1528/True_North_Single_Universal_Radio_Harness_Gen_2b__98479.1494524923.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/838/1529/True_North_Single_Universal_Radio_Harness_Gen_2c__51903.1494524923.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/838/1530/True_North_Single_Universal_Radio_Harness_Gen_2d__79131.1494524923.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/838/1531/True_North_Single_Universal_Radio_Harness_Gen_2e__58364.1494524923.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/838/1532/True_North_Single_Universal_Radio_Harness_Gen_2f__70933.1494524924.jpg?c=2, ","91191215-ee57-4bd9-884b-bbbcdde3c97f.png, 49e7eb80-9552-4e67-a6cd-f4ac5a780824.png, df8eef69-cb0c-4738-85ad-42c01cd9900f.png, 31ffde9b-88b8-4b34-845b-5dd4683e11b6.png, b727eb14-48d3-4167-9d92-6be45cb333de.png, 611adb95-4631-45a9-8b3a-017f3a52f5ea.png, ",https://www.fire-etc.com/true-north-single-universal-radio-chest-harness-gen-2/
Gear Bags,True North Gear Bags and Packs,True North Spitfire Wildland Pack Gen 2,$229.95,,6.00 LBS,,"True North Spitfire Wildland Pack Gen 2Designed by Hotshots, our mid-sized fire pack has the capacity to carry extra gear for those long days in the field. Cal Fire approved and NFPA 1977 Certified.DETAILSFeatures fusee pockets, a fire shelter or SAR case with huge side pockets for water or accessories and a hydration reservoir pocket. Approved for use by the Cal Fire Personal Protective Equipment (PPE) Working Group and NFPA 1977 Certified.Now offers superior ergonomic support harness for comfort and true MOLLE system compatibility on the hip belt that confirms to the 1"" MOLLE webbing standard.FEATURES New Hip Belt and Harness offer superior ergonomic comfortWaist belt upgraded to true MOLLE systemCompatible with all MOLLE accessories and fire shelterSCS™ patented load-trapping suspension100oz (3L) Hydration pocket (reservoir not included)Removable New Generation Fire Shelter case (fits standard & large shelter)Zippered side pockets each hold two 1L Bottles12 Fusee carrying capacityInterior mesh organizer pocketsNo swing fire shelter case SPECS Capacity: 2250 cu inMaterials: 1000D Cordura®, Nylon Webbing, #10 & #8 YKK® Zipper, Nylon Webbing, Nylon HardwareDimensions: 15"" x 10"" x 6""Weight: 4 LBS CERTIFICATION NFPA 1977","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/837/1525/True_North_Spitfire_WL_Gen_2__86048.1494523475.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/837/1523/True_North_Spitfire_WL_Gen_2d__29640.1494523462.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/837/1524/True_North_Spitfire_WL_Gen_2c__53471.1494523462.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/837/1526/True_North_Spitfire_WL_Gen_2b__97001.1494523463.jpg?c=2, ","218ca38b-e5aa-467e-821b-8ae31dac49a4.png, eefd7495-6b5b-4235-8881-a23923885302.png, 010e6b01-f51d-4b37-8e7d-dc54a24f07c3.png, 4bf9f64e-bcf0-438c-8cfb-0ffc48bc8cf4.png, ",https://www.fire-etc.com/true-north-spitfire-wildland-pack-gen-2/
Gear Bags,True North Gear Bags and Packs,True North Campaign Bag Gen 2,$209.95,CB2,6.00 LBS,,"True North Campaign Bag Gen 2DETAILSTravel bag with a new waterproof DrySafe™ dry bag, large exterior pocket for tents, and new removable toiletry bag means no more squashed toiletries. Collapsible laundry pocket keeps worn items apart while not taking away from storage. Updated padded, detachable shoulder strap with metal hardware makes this bag easier and more comfortable to carry on those short distances and the storable padded backpack straps make the long hauls more bearable. FEATURESExpanded main compartmentSleeping bag compartment with detachable DrySafe™ dry bagCollapsible laundry pocketStowable, padded backpack straps for long haulsPadded detachable shoulder strapLarge exterior pocketUpdated shoulder pads with metal hardwareRemovable toiletry bag SPECSCapacity: 6500 cu. in.Materials: 1000D Cordura®, #10 & #8 YKK® Zipper, Nylon Webbing, Nylon/Acetal HardwareDimensions: 29"" x 16"" x 14""Weight: 4.3 lbs.Technology: Hydroloc™ Waterproof Technology","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/832/1505/True_North_Campaign_Gen_2_a__08028.1492466049.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/832/1504/True_North_Campaign_Gen_2_D__93719.1492466049.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/832/1506/True_North_Campaign_Gen_2_C__92205.1492466050.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/832/1507/True_North_Campaign_Gen_2_b__07128.1492466050.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/832/1508/black-true-north-gen2__68151.1492466050.jpg?c=2, ","518e6c85-adb6-407c-809e-82cce6566c13.png, eadc88f7-0743-4420-ae29-5bf82acb57e0.png, b2b1d47f-1498-4f9c-a392-f1005f366acf.png, 4f735ea8-7533-411d-b8e2-d1d99ff71fb7.png, 87ccc52e-eedb-4cd3-a746-53aa18076bf1.png, ",https://www.fire-etc.com/true-north-campaign-bag-gen-2/
Gear Bags,True North Gear Bags and Packs,True North Saw Bar Cover,$67.11,SB2,1.50 LBS,,"True North Saw Bar CoverCover flap with Velcro closure protects the two exterior pockets for tools and spare parts, and over-size leather guards help keep the dogs in. Wedge pocket on tip is easy to grab, and the 1.75"" foam shoulder pad ensures a comfortable carryTwo exterior pockets for tools, spare chain, and parts.Wedge pocket on tip makes it easy to grabWeight: 1.25 - 1.6lbsMaterials: 1000D Nylon, Leather, Nylon Webbing, Nylon Hardware","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/731/1019/SB2_full_3293__74074.1379527739.JPG?c=2, ","79020036-81c4-483b-9f23-c2c7306ec7d2.png, ",https://www.fire-etc.com/True-North-Saw-Bar-Cover-SB2/
Gear Bags,True North Gear Bags and Packs,True North Fire Shelter Case,$27.95,10948,2.00 LBS,,"True North Fire Shelter CaseTrue North Fire Shelter Case. The New Generation Fire Shelter case holds the new, larger fire shelter and attaches to the bottom of all True North fire packs (new or old). Attaches to the waist belt of most packs with ALICE clips. Can be mounted horizontally or vertically on the waist belt. 3/4"" secure strap connects to 2006 or later Spitfire & Fireball packs (Firefly does not require this strap)Attaches to the bottom of ALL True North fire packs, new or oldAttaches to the waist belt of most packs with ALICE clipsCan be mounted horizontally or vertically on the waist belt3/4"" secure strap connects to 2006 or later Spitfire & Fireball packs (Firefly does not requre this strap)1000D Cordura®, Nylon Webbing, 3M Reflective Tape, Nylon HardwareLifetime Warrenty","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/180/375/TrueNorthFireShelterCase_full__07197.1378319536.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/180/376/TrueNorthFireShelterCaseBack_full2__92212.1378319539.jpg?c=2, ","35f8def1-fa6b-428f-b1ca-8287ac0f26bc.png, 6022f52a-9f7b-4051-b9c9-7ea802b9ee23.png, ",https://www.fire-etc.com/true-north-fire-shelter-case-10948/
Gear Bags,True North Gear Bags and Packs,True North L-2 RIT Bag,$329.95,21923,5.00 LBS,,"True North L-2 RIT BagMade with True North's exclusive FR Iron-Cloth the L-2 sets a new standard for rescue bags. The L-2 is the same size, and has many of the same features as the L-1, but with one BIG difference – pull the side zipper and the bag expands to allow the addition of a rope bag (sold separately, rope bag can hold up to 200' of 9mm Kevlar line). Our new ultra tough Fire Resistant Iron-Cloth combined with the Heat-Shield skid plate makes the L-2 the toughest bag on the market, top-to-bottom. The skid plate allows the bag to glide over the roughest surfaces and makes it extremely wear resistant during training evolutions. Innovative access-hatch design makes access to spare face piece and valve set quick and easy.Designed to hold all makes of masks and bottlesQuick-Draw transfill hose pocket pulls hose end out and ready to grabHeat-Shield skid plate covers bottom to protect bag and get you there fastFlashlight holder on top makes bag easier to find in low visibility conditions60"" shoulder strap can be re-positioned for carrying, dragging, or lowering the air bottleTwo tool pockets provide fast access to small hand tools, light sticks,Optional rope bag -- See L2 Search Rope BagWeight: 5 LBSMaterials: Heat-Shield, Fire-Resistant Canvas, Metal Hardware, 3M Reflective TapeSizes: 36"" x 13"" x 10""","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/175/1223/TN__93892.1383943458.jpg?c=2, ","0a8bda4e-3fae-4112-8181-d5f9cfa42adb.png, ",https://www.fire-etc.com/True-North-L-2-RIT-Bag-21923/
Gear Bags,True North Gear Bags and Packs,True North Lynx Hydration Pack,$80.71,11073,1.00 LBS,,"True North Lynx Hydration PackDrink Lynx Hydration. Don't mess with bulky canteens or water bottles. Attach a hands-free hydration system to your pack. Snap-tite straps attach easily to our Spyder Gear, FSS web gear, and other web gear brands. This system also attaches to the Aero-Vest in the Transformer Series.D-Rings attach easily to Spyder GearSnap-tite straps easily attach to FSS web gear & othersClosed cell insulation keeps water coolerCovered fill port keeps dirt outClick-It strap allows you to hang your pack anywhereNeoprene tube cover keeps liquid the right temperatureBite valve cover keeps your bite valve clean/protected/Capacity: 100oz (3 Liters)Materials:1000D Cordura®, 420D Packcloth, Nylon Webbing, #8 YKK Zipper, Nylon Hardware, 3M™ ReflectiveMade in USALifetime Warrenty","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/169/1914/Lynx_Front__88189.1644953110.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/169/1913/Lynx_back__89676.1644953002.jpg?c=2, ","a0924b7c-0316-4969-9cb2-639042216222.png, 71635eff-67d7-42f3-a69f-6e44aa6bebdf.png, ",https://www.fire-etc.com/drink-lynx-hydration-D11/
Gear Bags,True North Gear Bags and Packs,True North High Rise Hose Strap,$109.95,10841,1.00 LBS,,"True North High Rise Hose StrapTrue North High Rise Hose Strap Carry up to 100 ft. of hose. Strap consists of 4 quick release color-coded Velcro® closures. U-Shaped design keeps hose center of gravity close to your own.Carry up to 100 ft. of hoseFour heavy-duty nylon straps cinch the hose tightColor-coded reflective trim. Silver marks the nozzleU-Shaped design. Keeps hose center of gravity close to your ownAllows for fast movement in narrow spacesCarry over SCBA or shoulder for hands-free movementMaterials: Heavy-Duty Nylon; 3M™ Reflective Tape; Velcro®, Metal HardwareMade in the USALifetime Warrenty","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/166/361/hs100_full__60561.1378317272.jpg?c=2, ","16b5640d-50e4-4806-b61b-6e44983a5d34.png, ",https://www.fire-etc.com/true-north-high-rise-hose-strap-10841/
Gear Bags,True North Gear Bags and Packs,True North Flagging Tape Dispenser,$14.50,10950,1.00 LBS,,"True North Flagging Tape DispenserTrue North Flagging Tape Dispenser attaches to the hip belt, harness or anywhere. Load the flagging tape through the top zipper opening and thread an end through the over-sized grommet.Quick, secure Velcro® attachment to belt, harness or anywhereSecurely stack multiple colors in one place1000D Cordura®, Nylon Webbing,VelcroTape loads easily through zipper openingZipper pull tab for easy loading with glovesDispenses through bottom over-sized grommetWeight: 1 lbsDimensions: 5""x5""x1""Lifetime Warrenty","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/160/355/105_full__84153.1378316285.jpg?c=2, ","0a61d9bf-d2d7-4e46-aff3-8d651856559b.png, ",https://www.fire-etc.com/true-north-flagging-tape-dispenser-10950/
Gear Bags,True North Gear Bags and Packs,True North Hose Clamp Adjustable Pouch,$23.95,10953,1.00 LBS,,"True North Hose Clamp Adjustable PouchTrue North Hose Clamp Adjustable Pouch is designed to fit the largest to the smallest of hose clamps - even the Ponderosa! Adjustable top flap utilizing Velcro® to get the perfect size for securing your hose clamp. Padded back panel helps pouch keep its shape, and helps prevent bruising. Second pocket on front for small hand tools such as wire cutters or flashlight. Bright yellow Rip-Grip allows easy one handed opening even with gloves on. Attaches either vertically or horizontally with ALICE clips.Fits the largest to the smallest hose clamps - even the Ponderosa!Padded back panel to prevent bruisingSecond pocket on front for small hand toolsAttaches vertically or horizontally with ALICE clips1000D Cordura®, Nylon Webbing, VelcroDimensions: 10"" x 5.5"" x 1"" to 12"" x 5.5"" x 1""Weight: 1 lbsLifetime Warrenty","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/159/1222/TNclamppouch__03847.1383941217.jpg?c=2, ","8dca13d4-d670-4a13-8997-a1204045558d.png, ",https://www.fire-etc.com/true-north-hose-clamp-adjustable-pouch-10953/
Gear Bags,First In Gear Bags,First in Products Aerial Ladder Guide,$35.95,22267,1.00 LBS,,"First in Products Aerial Ladder GuideFirst in Products Aerial Ladder Guide-Ever wonder why your aerial ladder didn't come with some type of guide so you didn't slam the ladder into the building/roof top? Well, here is the answer. This much needed item attaches to the end rung of the ladder using a hook and loop fastener. It is red 2"" nylon, 6' long, reflective material every other 12"" on both sides so you can see where the ladder is in reference to the building/roof top and it is also weighted at the end to not blow around.L-72"" x W-2""","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/253/461/27061_full_3561__31419.1378334440.JPG?c=2, ","c9c6ef5c-3de7-4286-b117-08bf17125439.png, ",https://www.fire-etc.com/First-in-Products-Aerial-Ladder-Guide-Red-22267/
Gear Bags,First In Gear Bags,First In Firefighter Mid-Drop Bag,$35.95,11731,1.00 LBS,,"First In Firefighter Mid-Drop BagFirst In Firefighter Mid-Drop BagD-5""xH-10""Made in USA","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/250/458/26091_full__36695.1378333998.jpg?c=2, ","a96dc1fa-52de-4ccf-b10c-cb0b332392fe.png, ",https://www.fire-etc.com/first-in-firefighter-mid-drop-bag-11731/
Gear Bags,First In Gear Bags,First In Firefighter Drop Bag,$37.95,11730,1.00 LBS,,"First In Firefighter Drop BagFirst In Firefighter Drop BagD-6""xH-12""Made in USA","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/249/457/97063_full__76218.1378333896.jpg?c=2, ","68a756c0-e1b1-4ec7-9787-9e58e5f69653.png, ",https://www.fire-etc.com/first-in-firefighter-drop-bag-11730/
Gear Bags,First In Gear Bags,First In Command Pack Gear Bag,$178.95,97081,1.00 LBS,,"First In Command Pack Gear BagFirst In Command Pack is a large multi-purpose bag. Back pack straps are conveniently stowed into the bottom of the pack. This deluxe travel bag features two one padded center compartment, two roomy end compartments, two wet/dry end compartments and a handy front zippered pocket.Multi-Purpose BagBackpack Straps IncludedPadded Center Compartment2 roomy End CompartmentsHandy Front Zippered PocketL-32""xW-13""xH=13""Made in USALifetime Warrenty","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/211/418/97081_full__01635.1378328215.jpg?c=2, ","aa6f67d1-2eaa-4a7f-96c8-95bc75a06f89.png, ",https://www.fire-etc.com/first-in-command-pack-gear-bag-97081/
Gear Bags,Out Of County Gear Bags,Hi Vis Out of County Bag,$82.00,28242,3.00 LBS,,Hi Vis Out of County BagOUT-OF-COUNTY GEAR BAGDIMENSION: 15”(W)X10”(D)X23”(H)-Popular gear bag designed for short term mission/vacation-Large main compartment with heavy duty 2 way zipper and buckle adjustments-Roomy bottom compartment with ID pocket and buckle adjustment-3 exterior zip pockets for additional storage space-1 back pocket for padded shoulder straps when not in use-Sturdy webbing handles; removable shoulder strap included-900 denier polyester on PVC,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/762/1253/Hi_Viz_Out_of_Country_Bag_Front__43742.1397754420.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/762/1254/Hi_Vis_2W_Out_of_Country_bag_2__26472.1397754432.jpg?c=2, ","2eb8b442-6e2f-4850-a8ae-32451895c56a.png, 56dc3beb-5064-484a-a7fb-781031af1104.png, ",https://www.fire-etc.com/hi-vis-out-of-county-bag/
Gear Bags,Out Of County Gear Bags,Out of County Bag,$76.00,37861,2.00 LBS,,"Out of County BagThis rugged fire fighter's gear pack is built to government specs and is used by U.S. Forest Service Firefighter's to carry their personal gear. It is made of a nylon Cordura basketweave fabric which is twice as heavy as any other personal gear pack out there. It is made of the finest fabric, zipper, and heavy nylon webbing available. It measures a generous 26"" by 15"" by 10"" and was designed to hold 2 weeks worth of personal items, clothing etc. while you are on a wildland fire call.","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/78/1671/FSS_GSA_OUT_OF_COUNTY_BAG__69232.1448912036.250.450__34201.1528745235.jpg?c=2, ","f6b42ffb-4945-4201-b86f-c8fc4a5c06a5.png, ",https://www.fire-etc.com/out-of-county-bag/
Gear Bags,Hi-Visibility,Hi Vis Out of County Bag,$82.00,28242,3.00 LBS,,Hi Vis Out of County BagOUT-OF-COUNTY GEAR BAGDIMENSION: 15”(W)X10”(D)X23”(H)-Popular gear bag designed for short term mission/vacation-Large main compartment with heavy duty 2 way zipper and buckle adjustments-Roomy bottom compartment with ID pocket and buckle adjustment-3 exterior zip pockets for additional storage space-1 back pocket for padded shoulder straps when not in use-Sturdy webbing handles; removable shoulder strap included-900 denier polyester on PVC,"https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/762/1253/Hi_Viz_Out_of_Country_Bag_Front__43742.1397754420.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/762/1254/Hi_Vis_2W_Out_of_Country_bag_2__26472.1397754432.jpg?c=2, ","03f158ed-d036-46d1-bdc0-f2a001499260.png, 3d8e3bb4-7c5e-47e3-af43-5c454e8fdf66.png, ",https://www.fire-etc.com/hi-vis-out-of-county-bag/
Gear Bags,Hi-Visibility,Hi Vis Step In Turnout Gear Bag,$41.00,27565,3.50 LBS,,"Hi Vis Step In Turnout Gear BagôStep-in"" style gear bag for quick jump in & suit upZip around closure compartment with 4 ventilation holes & 2 outside pocketsSturdy webbing handles with Velcro closure; removable shoulder strap includedID Pocket & reflective material for increased visibility900 denier polyester on PVC upper; reinforced double PVC coated on nylon bottomWeight: 3.25 lbs.Packing: 12 pcs/caseHELMET/BOOTS NOT INCLUDED - BAG ONLY","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/268/477/HiVisStepInTurnoutBag2_full__88207.1378336366.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/268/478/HiVisStepInTurnoutbag_xsmall2__92364.1378336367.jpg?c=2, ","21ac0918-2d79-4ea5-9211-705307a6b39d.png, 10c295a7-793a-413f-b731-abc6172dedf3.png, ",https://www.fire-etc.com/HiVisStepInTurnoutGearBag/
Gear Bags,Hi-Visibility,Hi Vis Large Turnout Gear Bag,$59.00,27564,3.50 LBS,,"Hi Vis Large Turnout Gear BagLARGE TURNOUT GEAR BAG DIMENSION: 32""(W)X15""(D)X15""(H)Durable gear bag provides 3 large, ventilated compartments & 2 zip pockets for easy storage/transportationU-shaped, heavy duty zip opening at top for main compartmentID Pocket & reflective material for increased visibilitySturdy webbing handles with Velcro closure; removable shoulder strap included900 denier polyester on PVC upper; reinforced double PVC coated on nylon hard bottomWeight: 3.5 lbs.Packing: 6 pcs/case","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/266/1905/HIVISLARGETURNOUTBAG__13379.1642710923.jpg?c=2, ","4e8fbfef-fd51-4eab-a007-e588f7606c00.png, ",https://www.fire-etc.com/HiVisLargeTurnoutGearBag/
Gear Bags,Hi-Visibility,Hi Vis Backpack,$39.00,27567,1.70 LBS,,"Hi Vis BackpackDIMENSION: 13.5""(W)X 9.5""(D)X18.5"" (H)-Large size backpack, perfect for everyday useFeatures a spacious, expandable mesh storage option in front of main compartmentWet/dry storage option for both clean and soiled apparelContains zip side pocket, water bottle holder, and ventilated shoe compartmentComfortable, padded shoulder strapsInterior audio pocket with cord portalSturdy web haul loop & ID pocket2"" reflective trims for extra visibilityAdjustable shoulder straps from 17"" to 30"" long600 denier polyester on PVCWeight: 1.75 lbs.Packing: 12 pcs/case","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/265/473/HiVisBackpack_full__94451.1378336034.jpg?c=2, ","2ca49bff-f8f6-452b-9843-3b23afee234d.png, ",https://www.fire-etc.com/HiVisBackpack/
Web Gear,,True North Spyder Wildland Gear Gen 2,$174.95,36127,2.00 LBS,,"True North Spyder Wildland Gear Gen 2Perfect when working from a vehicle and you only need the essentials. New upgraded hipbelt and harness with true MOLLE system and superior ergonomic support.DETAILSEverything quickly attaches with our hybrid Spyder Gear attachment system, which allows for true MOLLE attachment while also being backward compatible with the ALICE system. Small gear bag is designed to carry items like Powerbar®, mobile phone, GPS, wallet, keys, map, weather meter, head lamp, etc. Approved for use by the Cal Fire Personal Protective Equipment (PPE) Working Group and NFPA 1977 Certified.Now offers superior ergonomic support harness for comfort and true MOLLE system compatibility on the hip belt that confirms to the 1"" MOLLE webbing standard. FEATURESNew Hip Belt and Harness offer superior ergonomic comfortWaist belt upgraded to true MOLLE systemCompatible with all MOLLE accessories and fire shelterRemovable New Generation shelter case that can be rear mountedRemovable gear bag with 250 cu in capacity (8""x8""x3"")Removable accessory pocket holds 1L water bottleOptional 3L Hydration SystemOptional Go! Pack: 1,500 cu inTechnology: SCS™ - Super Compression Suspension Capacity: 250 cu in  Materials: 1000D Cordura®, Nylon Webbing, #8 YKK Zipper, Nylon Hardware Weight: 1.75 LBSCal Fire Personal Protective Equipment (PPE) Working Group approved (Please Note: Spyder Gear must be worn in conjunction with Lynx Hydration to meet this standard) NFPA 1977","https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/849/1573/True_North_Spyder_gear_Gen_2_black__31574.1504114548.jpg?c=2, https://cdn11.bigcommerce.com/s-49x4nwiz/images/stencil/1280x1280/products/849/1574/True_North_Firefly_Wildland_Pack_Gen_2d__74141.1504114548.jpg?c=2, ","74510f90-558e-4833-ab34-2a5ea8c4f1a2.png, 6397e737-5687-49d5-8a2f-b85f1abc2c02.png, ",https://www.fire-etc.com/true-north-spyder-wildland-gear-gen-2/
